date, Unemployment Rate (%), Annual Change, 
1991-12-31,5.405,,
1992-12-31,5.18,-0.23,
1993-12-31,5.88,0.7,
1994-12-31,8.13,2.25,
1995-12-31,9.45,1.32,
1996-12-31,9.67,0.22,
1997-12-31,11.81,2.14,
1998-12-31,13.26,1.45,
1999-12-31,13.04,-0.22,
2000-12-31,10.58,-2.46,
2001-12-31,8.98,-1.6,
2002-12-31,7.88,-1.1,
2003-12-31,8.21,0.33,
2004-12-31,7.76,-0.45,
2005-12-31,7.12,-0.64,
2006-12-31,7.06,-0.06,
2007-12-31,6,-1.06,
2008-12-31,6.21,0.21,
2009-12-31,8.3,2.09,
2010-12-31,7.37,-0.93,
2011-12-31,6.54,-0.83,
2012-12-31,5.44,-1.1,
2013-12-31,5.46,0.02,
2014-12-31,5.16,-0.3,
2015-12-31,5.57,0.41,
2016-12-31,5.56,-0.01,
2017-12-31,5.21,-0.35,
2018-12-31,4.85,-0.36,
2019-12-31,4.5,-0.35,
2020-12-31,5.59,1.09,
2021-12-31,5.01,-0.58,